TicketID,Category,ResolutionHours
T014,Feature,5.0
T025,Feature,5.0
T038,Feature,5.0
T030,Support,4.0
T010,Technical,4.0
T044,Feature,4.0
T019,Feature,4.0
T033,Feature,4.0
T048,Support,4.0
T004,Feature,4.0
T028,Technical,3.5
T013,Technical,3.5
T045,Technical,3.5
T037,Technical,3.5
T003,Technical,3.0
T047,Technical,3.0
T008,Technical,3.0
T017,Technical,3.0
T024,Technical,3.0
T034,Technical,3.0
T021,Technical,3.0
T041,Technical,3.0
T049,Technical,2.5
T040,Billing,2.5
T023,Billing,2.5
T031,Technical,2.5
T005,Technical,2.5
T018,Technical,2.5
T001,Technical,2.0
T042,Technical,2.0
T009,Billing,2.0
T007,Technical,2.0
T015,Technical,2.0
T011,Technical,2.0
T046,Billing,2.0
T039,Technical,2.0
T035,Technical,2.0
T026,Technical,2.0
T022,Technical,2.0
T020,Billing,2.0
T029,Billing,2.0
T012,Billing,1.5
T043,Billing,1.5
T036,Billing,1.5
T006,Billing,1.5
T027,Billing,1.5
T050,Billing,1.5
T002,Billing,1.0
T016,Billing,1.0
T032,Billing,1.0
